"lastAccess","title","url","httpCode","status","target"
"10.08.2025","FAQ - Часто задаваемые вопросы о клининге | K-lining | K-lining","https://k-lining.ru/faq","200","LOW_DEMAND","https://k-lining.ru/faq"
"10.08.2025","Уборка по районам Москвы — быстрый выезд, 24/7 | K-lining | K-lining","https://k-lining.ru/districts","200","LOW_DEMAND","https://k-lining.ru/districts"
"10.08.2025","Условия использования | KliningPro | K-lining","https://k-lining.ru/terms","200","META_NO_INDEX",""
"10.08.2025","Химчистка мебели: полное руководство 2025 года | Блог K-lining | K-lining","https://k-lining.ru/blog/dry-cleaning-guide","200","LOW_DEMAND","https://k-lining.ru/blog/dry-cleaning-guide"
"10.08.2025","Наша команда - K-lining | K-lining","https://k-lining.ru/about/team","200","LOW_DEMAND","https://k-lining.ru/about/team"
"10.08.2025","Как выбрать клининговую компанию в Москве: полный гид 2025 | K-lining | K-lining","https://k-lining.ru/blog/how-to-choose-reliable-cleaning-company-moscow","200","LOW_DEMAND","https://k-lining.ru/blog/how-to-choose-reliable-cleaning-company-moscow"
"10.08.2025","Уборка квартир в Москве недорого — цены 2025, рейтинг компаний | K-lining | K-lining","https://k-lining.ru/blog/apartment-cleaning-price-moscow","200","LOW_DEMAND","https://k-lining.ru/blog/apartment-cleaning-price-moscow"
"10.08.2025","Клининговая компания в Москве - рейтинг лучших, цены 2025 | K-lining | K-lining","https://k-lining.ru/blog/cleaning-company-moscow","200","LOW_DEMAND","https://k-lining.ru/blog/cleaning-company-moscow"
"10.08.2025","О компании KliningPro - профессиональная клининговая компания в Москве | K-lining","https://k-lining.ru/about","200","LOW_DEMAND","https://k-lining.ru/about"
"10.08.2025","Уборка в Басманном районе — офис рядом, выезд 30 минут | K-lining | K-lining","https://k-lining.ru/districts/basmannyy","200","LOW_DEMAND","https://k-lining.ru/districts/basmannyy"
"10.08.2025","График уборки офиса: что и когда чистить | Блог KliningPro | K-lining","https://k-lining.ru/blog/office-cleaning-schedule","200","LOW_DEMAND","https://k-lining.ru/blog/office-cleaning-schedule"
"10.08.2025","Генеральная уборка квартиры в Москве: чек-лист, цены 2025 | K-lining | K-lining","https://k-lining.ru/blog/general-apartment-cleaning-checklist-prices","200","LOW_DEMAND",""
"10.08.2025","Инструменты для уборки: полный гид профессионала | Блог K-lining | K-lining","https://k-lining.ru/blog/cleaning-tools-guide","200","LOW_DEMAND","https://k-lining.ru/blog/cleaning-tools-guide"
"10.08.2025","Уборка офисов в Москве 24/7 - клининг офисных помещений | KliningPro | K-lining","https://k-lining.ru/blog/office-cleaning-moscow-24-7","200","LOW_DEMAND","https://k-lining.ru/blog/office-cleaning-moscow-24-7"
"10.08.2025","Карьера - K-lining | K-lining","https://k-lining.ru/careers","200","LOW_DEMAND","https://k-lining.ru/careers"
"10.08.2025","Клининг для бизнеса в Москве — КП за 10 минут, 24/7 | K-lining | K-lining","https://k-lining.ru/corporate","200","LOW_DEMAND","https://k-lining.ru/corporate"
"10.08.2025","Политика конфиденциальности | KliningPro | K-lining","https://k-lining.ru/privacy","200","META_NO_INDEX",""
"10.08.2025","Топ-10 профессиональных средств для уборки 2025 года | Блог K-lining | K-lining","https://k-lining.ru/blog/best-cleaning-products","200","LOW_DEMAND","https://k-lining.ru/blog/best-cleaning-products"
"09.08.2025","Уборка квартир и офисов в Москве 24/7 — от 2 500 ₽ | K-lining","https://k-lining.ru/?etext=2202.AKMZZ20BHsa-63QqzUfRR_TFbZZWw4LRIojLzgzDWBd1bWdweGpmYmJ5ZmRhZmJp.6789150b2c1dfed2c3ebe5d6827e0b716a2619f6","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","Цены на уборку в Москве 2025 — от 2 500 ₽, без скрытых доплат | K-lining | K-lining","https://k-lining.ru/prices","200","LOW_DEMAND","https://k-lining.ru/prices"
"08.08.2025","Дополнительные услуги клининга в Москве — кухни, санузлы, балконы | K-lining | K-lining","https://k-lining.ru/services/additional-services","200","LOW_DEMAND","https://k-lining.ru/services/additional-services"
"08.08.2025","Уборка после ремонта: пошаговое руководство | Блог KliningPro | K-lining","https://k-lining.ru/blog/how-to-clean-after-renovation","200","LOW_DEMAND","https://k-lining.ru/blog/how-to-clean-after-renovation"
"08.08.2025","Мытьё окон в Москве — от 500 ₽, безопасно и без разводов | K-lining | K-lining","https://k-lining.ru/services/window-cleaning","200","LOW_DEMAND","https://k-lining.ru/services/window-cleaning"
"08.08.2025","Уборка домов и коттеджей в Москве — от 5 000 ₽, гарантия | K-lining | K-lining","https://k-lining.ru/services/house-cleaning","200","LOW_DEMAND","https://k-lining.ru/services/house-cleaning"
"08.08.2025","Блог о клининге и уборке | Полезные советы от профессионалов K-lining | K-lining","https://k-lining.ru/blog","200","LOW_DEMAND","https://k-lining.ru/blog"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/services","200","LOW_DEMAND","https://k-lining.ru/services"
"08.08.2025","Экологичная уборка: натуральные средства без химии | Блог K-lining | K-lining","https://k-lining.ru/blog/eco-friendly-cleaning","200","LOW_DEMAND","https://k-lining.ru/blog/eco-friendly-cleaning"
"08.08.2025","Химчистка мебели и ковров в Москве на дому — от 1 000 ₽, 24/7 | K-lining | K-lining","https://k-lining.ru/services/dry-cleaning","200","LOW_DEMAND","https://k-lining.ru/services/dry-cleaning"
"08.08.2025","Мытье окон: секреты профессионалов без разводов | Блог K-lining | K-lining","https://k-lining.ru/blog/window-cleaning-tips","200","LOW_DEMAND","https://k-lining.ru/blog/window-cleaning-tips"
"08.08.2025","Уборка офисов в Москве — ежедневная/генеральная, КП за 10 мин | K-lining | K-lining","https://k-lining.ru/services/office-cleaning","200","LOW_DEMAND","https://k-lining.ru/services/office-cleaning"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/services/office-cleaning/general-cleaning","200","LOW_DEMAND","https://k-lining.ru/services/office-cleaning/general-cleaning"
"08.08.2025","Секреты идеальной уборки кухни: 15 проверенных способов | KliningPro | K-lining","https://k-lining.ru/blog/kitchen-cleaning-secrets","200","LOW_DEMAND","https://k-lining.ru/blog/kitchen-cleaning-secrets"
"08.08.2025","Уборка после ремонта в Москве — от 8 000 ₽, выезд сегодня | K-lining | K-lining","https://k-lining.ru/services/post-renovation-cleaning","200","LOW_DEMAND","https://k-lining.ru/services/post-renovation-cleaning"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/services/furniture-dry-cleaning","200","LOW_DEMAND","https://k-lining.ru/services/furniture-dry-cleaning"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/services/disinfection","200","LOW_DEMAND","https://k-lining.ru/services/disinfection"
"08.08.2025","","https://k-lining.ru/services/apartment-cleaning/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/services/apartment-cleaning"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/admin/content","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/admin/prices","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/admin/analytics","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/admin/loyalty","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/admin/users","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/admin/settings","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/admin/login","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/admin/calculator","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/admin/blog","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","Профессиональная уборка квартир и офисов в Москве - K-lining 24/7 | Цены от 2,500₽","https://k-lining.ru/admin","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","K-lining - Профессиональная уборка в Москве | Быстро, качественно, честно","https://k-lining.ru/?_ym_debug=2","200","NOT_CANONICAL","https://k-lining.ru/"
"08.08.2025","K-lining - Профессиональная уборка в Москве | Быстро, качественно, честно","https://k-lining.ru/?_ym_status-check=103567092&_ym_lang=ru","200","NOT_CANONICAL","https://k-lining.ru/"
"07.08.2025","","https://k-lining.ru/blog/cleaning-company-moscow/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/blog/cleaning-company-moscow"
"07.08.2025","","https://k-lining.ru/services/window-cleaning/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/services/window-cleaning"
"07.08.2025","","https://k-lining.ru/blog/eco-friendly-cleaning/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/blog/eco-friendly-cleaning"
"07.08.2025","","https://k-lining.ru/services/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/services"
"07.08.2025","","https://k-lining.ru/services/office-cleaning/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/services/office-cleaning"
"07.08.2025","","https://k-lining.ru/prices/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/prices"
"07.08.2025","","https://k-lining.ru/blog/window-cleaning-tips/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/blog/window-cleaning-tips"
"07.08.2025","","https://k-lining.ru/about/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/about"
"07.08.2025","","https://k-lining.ru/districts/basmannyy/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/districts/basmannyy"
"07.08.2025","","https://k-lining.ru/services/dry-cleaning/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/services/dry-cleaning"
"07.08.2025","","https://k-lining.ru/blog/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/blog"
"07.08.2025","","https://k-lining.ru/services/post-renovation-cleaning/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/services/post-renovation-cleaning"
"07.08.2025","","https://k-lining.ru/corporate/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/corporate"
"07.08.2025","","https://k-lining.ru/services/house-cleaning/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/services/house-cleaning"
"07.08.2025","","https://k-lining.ru/contacts/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/contacts"
"07.08.2025","","https://k-lining.ru/districts/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/districts"
"07.08.2025","","https://k-lining.ru/calculator/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/calculator"
"07.08.2025","","https://k-lining.ru/blog/apartment-cleaning-price-moscow/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/blog/apartment-cleaning-price-moscow"
"07.08.2025","","https://k-lining.ru/blog/office-cleaning-schedule/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/blog/office-cleaning-schedule"
"07.08.2025","","https://k-lining.ru/blog/kitchen-cleaning-secrets/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/blog/kitchen-cleaning-secrets"
"07.08.2025","","https://k-lining.ru/blog/office-cleaning-moscow-24-7/","308","REDIRECT_NOTSEARCHABLE","https://k-lining.ru/blog/office-cleaning-moscow-24-7"
